Customer ID,Purchase Date,Product Category,Quantity Purchased,Price per Item,Total Purchase Amount
8b4319a3,2023-10-03,Beauty,8,360.74,2885.92
26521cce,2024-07-22,Electronics,5,194.11,970.55
c770f097,2023-07-14,Beauty,9,389.25,3503.25
628bb204,2024-05-31,Sports,4,215.18,860.72
5e8cd747,2024-04-01,Electronics,2,305.89,611.78
948a8460,2025-01-04,Electronics,7,137.68,963.76
d2af5998,2023-03-09,Books,1,212.51,212.51
49707a1b,2023-06-05,Toys,9,61.1,549.9
80232e6e,2023-04-19,Toys,9,400.09,3600.81
5d7debaf,2024-02-15,Clothing,10,267.25,2672.5
2b8e12b4,2023-06-01,Books,3,130.53,391.59
c2fec680,2024-12-20,Groceries,6,46.8,280.8
003316e4,2023-10-31,Groceries,7,326.89,2288.23
a8e6f217,2024-11-30,Books,10,82.54,825.4
97cea4ff,2023-09-30,Beauty,3,110.79,332.37
07a0a69e,2024-08-22,Electronics,9,25.66,230.94
fefb60e7,2023-03-04,Groceries,3,197.48,592.44
abcb515f,2024-05-21,Books,3,156.5,469.5
18f52f04,2023-05-10,Groceries,8,365.86,2926.88
0346ad0f,2024-09-20,Groceries,7,370.64,2594.48
aeb087df,2024-09-10,Books,2,184.35,368.7
41a64363,2023-11-18,Sports,8,309.89,2479.12
de93cf4e,2024-02-24,Groceries,3,327.44,982.32
e299e855,2023-09-24,Books,10,175.09,1750.9
3bd8e6df,2025-02-12,Books,5,95.38,476.9
5b3451cc,2024-06-21,Toys,10,403.62,4036.2
8b2e587a,2024-01-26,Books,8,456.27,3650.16
5f55f51d,2023-12-16,Clothing,4,68.33,273.32
f6617967,2024-02-01,Groceries,2,317.65,635.3
2c04700d,2023-03-24,Clothing,4,269.89,1079.56
2fecab13,2023-10-26,Groceries,5,436.0,2180.0
1c4ebc34,2023-10-28,Clothing,8,88.72,709.76
b74fc4c8,2024-12-04,Toys,3,383.06,1149.18
208517fd,2023-12-22,Toys,2,52.06,104.12
2446edab,2025-02-10,Sports,6,303.42,1820.52
268cee4a,2024-09-17,Books,6,102.67,616.02
95cd2491,2024-03-15,Groceries,4,331.69,1326.76
1dc1e049,2023-11-28,Books,5,244.82,1224.1
e6630b91,2023-12-28,Electronics,6,131.84,791.04
bc763203,2023-12-10,Books,2,324.37,648.74
76373ae8,2023-04-01,Electronics,10,454.94,4549.4
706e0235,2024-09-09,Groceries,7,58.7,410.9
0253a5a2,2024-12-13,Toys,4,474.72,1898.88
38165312,2025-02-23,Furniture,1,74.39,74.39
08bf19ca,2024-06-02,Beauty,8,466.35,3730.8
d7162731,2025-02-10,Beauty,10,495.03,4950.3
04039908,2025-02-08,Beauty,5,153.92,769.6
7eb4327e,2024-03-22,Beauty,9,441.72,3975.48
ccba34dd,2024-07-27,Sports,7,67.18,470.26
26c0c380,2023-09-21,Groceries,10,15.29,152.9
2f074684,2024-07-04,Furniture,5,401.19,2005.95
3f9d950b,2024-02-05,Books,4,170.5,682.0
bf60d9d8,2023-06-12,Groceries,3,136.66,409.98
9f862be5,2024-01-13,Books,5,312.08,1560.4
35730014,2024-07-28,Sports,8,54.7,437.6
b9fa3068,2024-06-21,Beauty,8,31.79,254.32
3bdaccae,2023-03-02,Sports,1,108.71,108.71
0d09e434,2023-06-06,Beauty,8,115.64,925.12
00c5f5c1,2024-10-11,Toys,4,291.48,1165.92
6901728c,2024-11-08,Toys,2,188.57,377.14
83c310e4,2024-08-05,Electronics,1,455.82,455.82
241af33b,2024-07-03,Clothing,8,236.88,1895.04
fb019b1e,2024-10-22,Clothing,9,418.94,3770.46
d545da82,2023-03-12,Sports,4,406.3,1625.2
e7dfeb29,2024-07-24,Books,3,384.51,1153.53
bf6fda1e,2023-06-27,Groceries,9,439.38,3954.42
f114098d,2023-03-08,Books,6,390.5,2343.0
752f1d00,2025-01-27,Clothing,5,243.29,1216.45
4d1812cc,2024-08-22,Toys,10,194.77,1947.7
ffd89343,2023-04-13,Beauty,7,180.29,1262.03
c9d3f897,2024-08-11,Books,4,193.4,773.6
a7dab9f6,2023-09-05,Furniture,2,317.23,634.46
ef7e2f82,2024-07-16,Toys,6,439.27,2635.62
9011cb64,2025-02-22,Beauty,4,489.82,1959.28
0fa22cfd,2023-05-30,Beauty,8,223.46,1787.68
8c5bfcbc,2024-02-08,Beauty,4,419.26,1677.04
f37d93f1,2023-11-27,Electronics,10,329.83,3298.3
30b2a9d4,2024-04-28,Clothing,1,78.76,78.76
e0742d5d,2025-01-30,Furniture,3,325.25,975.75
ca48e78d,2024-10-31,Electronics,1,490.15,490.15
9e9bead1,2024-10-17,Toys,7,288.13,2016.91
ce33f996,2024-02-20,Sports,3,247.85,743.55
ee274d43,2023-10-09,Clothing,2,63.23,126.46
f1463972,2023-11-29,Books,2,477.95,955.9
ecc19325,2024-10-30,Beauty,3,499.74,1499.22
1f331d01,2024-10-29,Sports,2,121.41,242.82
4000cf15,2023-07-25,Groceries,4,479.7,1918.8
23c07bdf,2024-05-13,Sports,6,386.91,2321.46
535b08a1,2023-05-18,Clothing,3,91.71,275.13
48f4e6e8,2024-03-05,Groceries,8,423.5,3388.0
6d34cb41,2024-10-21,Toys,9,109.52,985.68
ae8ed416,2024-03-10,Groceries,1,449.96,449.96
044d859c,2023-09-16,Beauty,6,17.15,102.9
fac7d17c,2023-10-11,Clothing,2,216.7,433.4
f01910de,2025-02-17,Furniture,2,337.76,675.52
2f04ddbf,2024-09-07,Toys,4,451.06,1804.24
bfeae489,2023-05-22,Furniture,9,134.09,1206.81
b7870e4d,2025-01-21,Books,10,307.4,3074.0
927bb17d,2023-12-19,Furniture,2,237.16,474.32
b49d0201,2024-05-06,Beauty,1,260.08,260.08
